smaples,seq_mean,seqmax,seqmin,seq_anomaly,target_mean
0,565185.7272727273,664421.0,143983.0,-113402.0,6.1461944580078125
1,656843.6363636364,709944.0,633238.0,75447.0,11.701271057128906
2,840812.0,1025457.0,645395.0,-380062.0,6.564746856689453
3,709547.8181818182,828706.0,620912.0,175746.0,13.490997314453125
4,389404.63636363635,543399.0,277199.0,266200.0,9.49273681640625
5,322929.54545454547,341992.0,297643.0,-16533.0,3.786407470703125
6,800282.6363636364,838770.0,741734.0,42870.0,9.243438720703125
7,203796.54545454544,229931.0,152013.0,67917.0,2.5322113037109375
8,241190.0909090909,276872.0,176713.0,-98556.0,1.1896896362304688
9,125267.90909090909,159498.0,96940.0,47810.0,1.4546775817871094
10,1204498.9090909092,1259952.0,1102114.0,136285.0,19.188945770263672
11,915042.7272727273,981385.0,797184.0,168564.0,13.092723846435547
12,1216784.7272727273,1338550.0,1028801.0,-309749.0,12.534488677978516
13,744814.3636363636,826717.0,604711.0,-222006.0,8.710227966308594
14,139009.63636363635,157259.0,106894.0,50365.0,1.8692588806152344
15,338354.0909090909,377881.0,313247.0,48741.0,6.936710357666016
16,48049.0,61270.0,39633.0,-4167.0,0.5757865905761719
17,80076.27272727272,108007.0,57193.0,18043.0,0.6978492736816406
18,407363.8181818182,503818.0,362210.0,138545.0,12.593311309814453
19,305224.45454545453,349667.0,270633.0,74089.0,5.677894592285156
20,75791.90909090909,116903.0,32662.0,84241.0,1.1043434143066406
21,435909.0909090909,666419.0,294661.0,371758.0,8.959545135498047
22,33725.90909090909,46083.0,22074.0,24009.0,0.4548530578613281
23,342042.2727272727,404276.0,293878.0,110398.0,7.516086578369141
24,232043.36363636365,263703.0,195602.0,53825.0,4.12847900390625
25,662298.3636363636,727140.0,592745.0,134395.0,12.990692138671875
26,702448.4545454546,776568.0,571435.0,-205133.0,6.257179260253906
27,745835.0909090909,829673.0,676605.0,-110072.0,8.932369232177734
28,267559.0909090909,347306.0,196141.0,151165.0,8.284648895263672
29,642691.0,746576.0,511639.0,234937.0,13.465579986572266
30,22424.18181818182,59101.0,872.0,58229.0,1.2832489013671875
